"Ctrl_F1","Ctrl_F2","AIS_M1","Ctrl_M1","AIS_M2","Ctrl_M2","Ctrl_M3","AIS_M3","AIS_M4","AIS_M5","AIS_M6","Ctrl_M4","AIS_M7","Ctrl_F3","AIS_M8","AIS_M9","Ctrl_F4","AIS_M10","Ctrl_M5","AIS_F1","Ctrl_F5","Ctrl_F6","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","Ctrl_F7"
"ENSG00000082929",215.22860810231,136.158112056802,8.90596646645665,120.902734276852,17.4973246096446,76.1864928457014,9.12081550463812,177.84637230708,4.70745176500321,213.08708667861,126.417219053233,278.16564754,36.3048368068158,204.27791303221,1276.06844004602,268.349860307398,14.6248317420123,484.484316477181,174.821079726403,8.0824827634186,17.7481673381011,10.775708221808,400.133490825774,220.022691521279,17.2706052484392,67.8772670386252,149.082378235624,9.77680282490062
"ENSG00000115934",1.54840725253461,1.2378010186982,3.81684277133856,1.10413455960596,3.74942670206669,1.26977488076169,2.28020387615953,126.122128568368,3.53058882375241,3.75153321617271,56.1854306903259,106.856315823293,2.50378184874592,0,5.00092138489621,3.99528328001089,128.113526060028,4.7113547793567,0,6.21729443339892,5.91605577936702,6.9272409997337,369.109224141469,6.14588523802456,1.57005502258539,0.887284536452617,264.227304515171,0
"ENSG00000122043",12.3872580202769,13.6158112056802,12.7228092377952,536.057328688693,29.3705091661891,16.507073449902,14.441291215677,14.879576965931,202.420425895138,204.83371360303,307.459162388728,13.569055977561,28.7934912605781,816.267528521268,134.191390494715,17.978774760049,394.870457034332,17.2749675243079,147.349195769397,165.380031928411,30.6559254021745,16.9332557771268,25.4558085614806,12.2917704760491,330.496582254224,226.257556795417,309.073223171415,23.4643267797615
"ENSG00000122548",651.87945331707,4.95120407479279,237.91653274677,8.83307647684767,350.571396643236,1.26977488076169,172.535426629404,131.790538841103,3.53058882375241,431.426319859862,4.68211922419382,6.78452798878049,6.2594546218648,85.2564843646826,10.0018427697924,161.143092293773,375.565679134876,2.35567738967835,47.4514359257379,9.32594165009838,4.30258602135783,6.15754755531885,11.1369162456478,264.273065235056,26.6909353839516,74.0882587937935,0,514.259828589772
"ENSG00000124915",6.19362901013843,29.7072244487567,262.089870298581,557.587952601009,251.836493488813,175.228933545113,5.3204757110389,14.879576965931,220.0733700139,9.75398636204904,1331.28256607911,504.599269165549,35.0529458824429,164.604103476367,500.092138489621,334.937914974246,175.497980904148,296.815351099472,134.861975788939,14.2997771968175,544.277131701766,519.543074980028,11.1369162456478,12.2917704760491,250.423776102369,175.238695949392,106.660563290528,7.82144225992049
"ENSG00000125514",418.069958184344,357.724494403779,507.640088588029,203.160758967496,292.455282761202,345.37876756718,373.193367731443,500.945757853011,103.563938830071,501.955144323908,599.311260696809,166.220935725122,15.0226910924755,149.409878540087,195.035934010952,12.6517303867012,230.487348254114,11.7783869483918,314.677943507525,369.307289343896,205.986305772506,428.719248539075,526.61703961563,393.336655233572,53.3818707679031,7.98556082807355,584.208994386753,348.054180566462
"ENSG00000125804",15.4840725253461,309.450254674549,262.089870298581,489.13160990544,19.9969424110224,778.372001906916,1176.58520009832,17.7137821022988,43.5439288262797,624.255127171139,1417.12141852266,1235.63215995665,1205.57096017116,86.1006079722538,201.703829190814,19.310535853386,390.775504146568,166.467868870603,217.277627659958,845.552042942253,944.417631688044,588.04579153295,467.750482317207,296.231668472784,843.119547128352,118.896127884651,168.475207924811,256.152234012396
"ENSG00000125899",0,2.47560203739639,0,0,0,0,0,0,0,1.50061328646908,0,0,0,0,0,1.33176109333696,0.584993269680492,277.184706185486,0,1.24345888667978,0.537823252669729,0,0,0,0.785027511292693,0,161.202896791366,0
"ENSG00000129816",0,1.2378010186982,5.08912369511808,1.10413455960596,1.2498089006889,2.53954976152338,0.760067958719843,139.584602966115,1.1768629412508,0.750306643234542,3.12141281612921,25.4419799579268,3.75567277311888,21.1030901892779,0.833486897482702,2.66352218667393,1.75497980904148,76.1669022662667,2.49744399609147,0.621729443339892,2.68911626334864,0,0.79549401754627,0,0.785027511292693,70.0954783797567,180.595726480552,1.95536056498012
"ENSG00000129845",630.201751781585,930.826366061044,468.199379950864,269.960899823657,618.03050139066,625.999016215514,188.496853762521,186.348987716184,430.731836497794,354.895042249938,343.355409774214,12.7209899789634,1085.38943143136,336.805319420875,39.173884181687,1206.57555056329,15.7948182813733,489.980897053097,204.7904076795,273.560955069552,251.163458996763,21.551416443616,13.5233982982866,223.710222664094,29.8310454291223,216.497426894438,376.948127083569,9.77680282490062
"ENSG00000130600",1834.86259425351,935.777570135836,993.651401471806,515.630839335983,689.894513180271,469.816705881826,365.592688144245,539.916078478068,476.629491206575,21.0085860105672,700.757177221009,708.983174827561,1145.48019580126,182.330699235361,231.709357500191,667.878188308487,1090.42745468444,760.098571069548,619.366111030684,491.787989681854,1231.61524861368,453.34943876035,1262.44900584593,776.839894086305,711.23492523118,49.2442917731202,471.488171818355,1577.97597593896
"ENSG00000131484",0,0,0,0,0,0,0,0,1.1768629412508,0,1.56070640806461,0,0,0,0,0,0.584993269680492,65.9589669109938,0,0,0,0,0,0,0,0,0,0
"ENSG00000131538",0,1.2378010186982,0,0,0,0,0,0,0,0,0,0,1.25189092437296,0,0,0,0,0,0,0,0,0,0.79549401754627,17.2084786664688,0,0,0,0
"ENSG00000132204",2328.80450781205,3433.6600258688,2188.32318890078,3590.64558783858,3283.24798210973,1987.19768839205,2809.97124338726,2566.37275098105,3778.90690435633,2589.3082258024,2692.21855391145,4677.93204826415,2235.87719093011,2463.99681050009,3151.4139593821,2050.24620319226,2382.09259413896,4617.91290956613,2807.12705160681,2895.39401763388,3582.44068603306,4326.4468510559,3147.76982743059,4338.99497804534,2415.52965224762,3217.29372917719,3763.42101155782,2643.64748385313
"ENSG00000132832",964.65771832906,820.662075396904,388.045681752754,739.770154935992,617.405596940315,516.798376470008,803.391832366874,116.20241059108,231.841999426408,342.890135958186,814.688745009725,738.665484778476,1166.7623415156,1707.66205811637,654.287214523921,299.646246000817,998.583511344599,513.537670949881,736.745978846983,693.850058767319,105.413357523267,2238.2685363584,507.52518319452,696.943385991986,667.273384598789,1184.96849843247,899.34247683604,963.992758535201
"ENSG00000136315",0,0,0,0,0,0,0,0,1.1768629412508,0,0,0,0,0,0.833486897482702,0,0,21.2010965071052,302.190723527068,0,0.537823252669729,0,0.79549401754627,0,0,0.443642268226308,0,0
"ENSG00000145063",2037.70394433554,1036.03945265039,787.541891819523,627.700497135987,1093.58278810278,638.69676502313,1564.97992700416,1760.04138968441,557.833034152881,761.56124288306,540.004417190354,911.670948492379,1253.14281529733,2388.44774762247,1241.06199035174,403.5236112811,1828.10396775154,538.664896439783,1443.52262974087,726.801719264334,947.106747951393,380.228561540939,451.045107948735,1086.59251008274,1603.81120557097,1185.4121407007,936.916084358839,385.206031301084
"ENSG00000146521",126.969394707838,2.47560203739639,716.29416008787,2.7603363990149,6.24904450344449,300.936646740521,309.347659198976,3.54275642045976,2.35372588250161,5.25214650264179,0,0.848065998597561,10.0151273949837,38.4076241444857,109.186783570234,414.177700027796,75.4641317887834,2.35567738967835,2.49744399609147,1.86518833001968,5.91605577936702,1.53938688882971,253.76259159726,3.68753114281474,307.730784426736,29.7240319711627,2.42410371114835,1.95536056498012
"ENSG00000147753",1.54840725253461,149.773923262482,3.81684277133856,16.5620183940894,8.12375785447783,257.764300794623,6.84061162847859,6.37696155682758,559.009897094132,14.2558262214563,7.80353204032304,55.1242899088415,2.50378184874592,66.2637031943325,28.3385545144119,16.647013666712,28.6646702143441,17.2749675243079,496.991355222202,195.223045208726,8.06734879004593,10.0060147773931,3.18197607018508,6.14588523802456,7.06524760163424,82.5174618900933,4.84820742229671,7.82144225992049
"ENSG00000147761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443642268226308,0,0
"ENSG00000149656",3940.69645770058,2981.86265404395,8853.80294858168,1653.99357028973,2893.3076050948,3197.29314975794,2730.16410772168,2221.30827562827,1037.99311418321,2644.83091740176,6078.95145941165,4044.42674731177,1988.00278790426,617.054357134485,2000.36855395849,2746.09137446082,3554.41910657867,3040.39428427819,5634.23365518235,2238.22599602361,2323.9342747859,4354.15581505484,3625.06623795835,2452.2082099718,5303.64586629343,630.85930541781,2056.85199890938,9604.73109518237
"ENSG00000152931",480.006248285728,444.370565712652,1254.46899084661,984.888027168515,41.8685981730781,1006.93148044402,2252.0813616869,1886.87206953687,3850.69554377263,2796.39285933514,351.158941814537,196.751311674634,440.665605379282,1752.40060931764,3133.07724763748,45.2798771734568,1654.94595992611,1357.65540225129,1113.8600222568,1403.24335361814,1355.85241998039,36.1755918874982,1646.67261632078,1194.76009027198,1902.12165986219,1297.20999229373,3690.69790022337,46.928653559523
"ENSG00000153363",2446.48345900468,618.900509349098,1575.08378363905,684.011359675891,995.472789398706,97.7726658186502,1305.79675308069,1687.06060742294,1034.46252535946,847.846506855032,1310.99338277427,468.132431225854,956.444666220941,1156.02728056864,5315.14594524719,2453.10393392669,570.95343120816,675.294185041127,1206.26545011218,1065.64426588457,1494.61081916918,1116.05549440154,381.041634404663,887.465828370747,1649.34280122595,1594.00666973713,1127.20822568398,1138.01984881843
