Gene_ID	Ctrl_F1	Ctrl_F2	AIS_M1	Ctrl_M1	AIS_M2	Ctrl_M2	Ctrl_M3	AIS_M3	AIS_M4	AIS_M5	AIS_M6	Ctrl_M4	AIS_M7	Ctrl_F3	AIS_M8	AIS_M9	Ctrl_F4	AIS_M10	Ctrl_M5	AIS_F1	Ctrl_F5	Ctrl_F6	AIS_F2	AIS_F3	AIS_F4	AIS_F5	AIS_F6	Ctrl_F7
ENSG00000254833	1	0	0	3	3	0	0	1	0	0	0	3	2	0	0	3	0	2	3	2	0	3	4	0	0	0	1	0
ENSG00000254837	22	221	891	437	1592	666	587	1122	320	1136	580	1839	906	216	396	1014	629	742	86	1109	2627	46	1193	146	1665	621	983	11
ENSG00000254839	285	517	568	2216	1380	20	235	649	472	634	124	1001	1293	235	858	35	1142	1086	251	2015	2201	2360	50	685	1512	351	1069	120
ENSG00000254842	11	15	18	386	381	732	214	397	500	308	263	28	27	166	105	23	539	458	110	246	532	29	37	268	21	431	279	318
ENSG00000254847	1	0	2	0	4	0	0	0	0	2	0	1	0	0	4	2	1	2	0	0	0	3	5	0	1	6	0	1
ENSG00000254861	0	0	0	50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254863	1	123	4	69	1	5	0	1	0	0	224	1	1	58	7	348	139	203	50	4	465	743	583	1	804	3	1	305
ENSG00000254869	0	0	2	0	2	1	0	1	1	0	0	0	113	40	2	2	157	1	0	4	3	1	2	0	0	0	0	0
ENSG00000254872	483	172	1579	515	2149	280	323	35	707	252	313	511	1152	928	1009.5	178	209	2087	234	833	22	504.5	355	357	906	166	27	635
ENSG00000254874	199	0	2	2	5	3	6	26	2	0	3	1	3	0	297	12	3	2	0	0	0	7	0	1	0	2	1	2
ENSG00000254880	143	2	1	5.017258027	3	4	2	9	1	1	2	0	92	1	3	4	5	0	1	5	0	0	4	2	1	0	0	0
ENSG00000254885	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000254887	5	3	2	343	777	2	6	2	212	8	164	269	3	56	3	9	54	120	6	475	9	566	10	3	54	626.1850272	250	2
ENSG00000254927	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254934	13	269	183	907	806	988	552	739	633	874	180	43	373	2136	1956	374.5	203	765	200	494	363	654	285	192	1170.5	1876	261	358
ENSG00000254938	533	498	335	472	12	8	464	445	279	252	357	8	10	331	769	913	141	17	47	208	18	5	28	11	15	260	12	4
ENSG00000254946	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	1	1	0	0	0	0	2	0	0	0	0	0	0
ENSG00000254952	0	1	2	9	1	12	164	0	313	288	0	0	0	2	4	3	3	3	1	0	1	3	3	2	1	91	1	0
ENSG00000254968	1089	1236	2431	4048.598273	2511	1816	1881	1999	1410	2992	1323	3422	2058	7916	3743	1880	3093	877	725	2951	4576	6109	6639	1356	3892	5260.208986	1175	909
ENSG00000254971	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	2	137	0	10	0	0
ENSG00000254972	1	180	255	136	4	1	6	1	1	3	4	360	12	159	3	0	6	357	2	9	4	6	282	4	4	1	3	2
ENSG00000254973	3	2	0	1	0	0	1	1	2	0	1	2	0	492	2	2	2	1	1	3	3	3	0	1	1	4	1	0
ENSG00000254975	454	494	268	644	37	279	321	257	214	714	314	504	26	513	381	583	274	26	25	492	569	40	429	897	591	9072	15	19
ENSG00000254987	0	2	1	0	0	0	52	0	1	201	93	341	4	772	4	4	0	2	0	0	1	0	0	0	0	2	133	0
ENSG00000254989	1	0	1	1	2	3	2	0	1	3	1	0	0	0	1	2	6	5	0	6	0	4	4	2	2	1	0	0
ENSG00000254990	200	305	3	1061	12	6	424	242	330	222	186	9	340	422	353	16	71	7	155	547	285	192	10	6	11	239	208	113
ENSG00000254991	3	1.5	257	389	4	6	1	5	186	31	0	1	11	2925.5	720.5	10	15	0	39	6	417	1105.5	5	105	8	449	0	61
ENSG00000254998	1455	869	805	2666	1745	1945	2286	2740	1042	2089	1916	2814	2686	8001	1384	2252	1833	1765	707	2461	2739	1467	7588	1226	2740	4046	1806	1008
ENSG00000255002	1	219	1	16	10	1	301	11	13	278	1	4	593	11	11	37	8	668	31	8	413	0	3	12	3	6	7	3
ENSG00000255008	146	537	542	194	805	184	296	455	258	19	182	267	1191	96	148	432	814	54	111	720	693	16	35	35	57	12184	206	100
ENSG00000255015	0	0	0	2	1	0	1	1	1	0	1	1	4	8	0	2	1	0	0	1	1	3	0	0	1	11	0	0
ENSG00000255021	926	400	637	966	957	594	1072	456	489	179	330	286	1533	375	717	1531	856	140	131	262	2022	765	1538	366	29	1976	159	573
ENSG00000255029	702	798	1381	3270	1448	457	983	2121	852	1739	546	1265	549	3540	1348.5	1875.5	3015	1803	455	3638	2612.5	1791	838	1178	2427	6024	1948	121
ENSG00000255032	2189	2619	1960	1599	3691	2720	3171.5	4269	1815	2688	2063	5894	3311.5	9939.5	4233	6064	4719.5	2213	556	3366	4211	6120.5	3406	2792	3848.5	2036	1349	2134
ENSG00000255039	777	252	877	650	30	201	695.5	1603	234	109	867	1114	1	401	550	31	738	996	62	3313	54.5	893	2802	576	319	5032	322	11
ENSG00000255041	1245	1784	1495	2957.401727	5102	1882	2602	2446	3914	2990	1081	5285	3416	8691	6936	6121	3898	4367	616	4852	7966	2697	3405	2782	7173	11295	3483	695
ENSG00000255046	0	4	1	0	2	1	2	3	0	1	0	2	0	96	2	0	2	3	0	1	577	9	0	6	397	0	1	0
ENSG00000255079	1	5	106	7	1	6	7	1	13	2	2	2	6	25	5	2	139	2	1	202	6	1	3	3	3	5	0	7
ENSG00000255087	0	2	0	214	0	4	168	2	1	0	0	0	0	0	1	4	2	2	27	182	0	2	5	0	3	1	0	0
ENSG00000255094	581	240	22	577	34	9	430	625	242	496	6	843	626	662	66	921	749	504	109	274	1286	588	31	433	393	538	318	272
ENSG00000255102	0	0	0	0	3	0	0	0	0	0	1	0	0	0	128	0	0	0	1	0	1	0	0	0	1	29	319	0
ENSG00000255109	0	2	0	6	6	1	1	2	6	0	0	4	3	16	4	6	5	1	1	1	1	0	4	1	0	2	3	2
ENSG00000255117	5	492	19	55	435	276	21	918	219	404	314	20	97	600	723	815	396	220	30	11	17	10	10	626	18	338	225	6
ENSG00000255121	1	5	178	429	6	1	3	240	7	0	232	0	2	48	6	10	293	485	2	237	6	6	8	104	5	211	7	2
ENSG00000255132	5	396	395	52	19	27	4	731	5	574	108	944	100	6627	1637.5	611	148	8	40	1556.5	4	11	6	349	964	1628	7	6
ENSG00000255133	0	0	1	0	1	2	2	1	1	2	2	0	1	30	1	2	1	1	0	1	2	0	3	2	0	0	0	0
ENSG00000255135	1	2	82	2	8	2	303	9	5	4	2	3	5	520	171	11	4	7	2	5	1022	2	4	4	13	135	6	0
ENSG00000255136	11	118	11	195	15	551	576	217	145	240	137	709	611	660	28	12	140	12	54	598	476	1340	11	11	3	490	216	3
ENSG00000255142	0	0	0	0	0	0	3	142	0	0	0	0	1	9	0	0	0	0	0	4	0	1	1	0	0	0	1	1
