Gene_ID	Ctrl_F1	Ctrl_F2	AIS_M1	Ctrl_M1	AIS_M2	Ctrl_M2	Ctrl_M3	AIS_M3	AIS_M4	AIS_M5	AIS_M6	Ctrl_M4	AIS_M7	Ctrl_F3	AIS_M8	AIS_M9	Ctrl_F4	AIS_M10	Ctrl_M5	AIS_F1	Ctrl_F5	Ctrl_F6	AIS_F2	AIS_F3	AIS_F4	AIS_F5	AIS_F6	Ctrl_F7
ENSG00000082929	139	110	7	219	28	60	12	251	4	284	81	328	29	484	1531	403	25	617	70	13	33	14	503	179	22	153	123	5
ENSG00000115934	1	1	3	2	6	1	3	178	3	5	36	126	2	0	6	6	219	6	0	10	11	9	464	5	2	2	218	0
ENSG00000122043	8	11	10	971	47	13	19	21	172	273	197	16	23	1934	161	27	675	22	59	266	57	22	32	10	421	510	255	12
ENSG00000122548	421	4	187	16	561	1	227	186	3	575	3	8	5	202	12	242	642	3	19	15	8	8	14	215	34	167	0	263
ENSG00000124915	4	24	206	1010	403	138	7	21	187	13	853	595	28	390	600	503	300	378	54	23	1012	675	14	10	319	395	88	4
ENSG00000125514	270	289	399	368	468	272	491	707	88	669	384	196	12	354	234	19	394	15	126	594	383	557	662	320	68	18	482	178
ENSG00000125804	10	250	206	886	32	613	1548.5	25	37	832	908	1457	963	204	242	29	668	212	87	1360	1756	764	588	241	1074	268	139	131
ENSG00000125899	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	353	0	2	1	0	0	0	1	0	133	0
ENSG00000129816	0	1	4	2	2	2	1	197	1	1	2	30	3	50	1	4	3	97	1	1	5	0	1	0	1	158	149	1
ENSG00000129845	407	752	368	489	989	493	248	263	366	473	220	15	867	798	47	1812	27	624	82	440	467	28	17	182	38	488	311	5
ENSG00000130600	1185	756	781	934	1104	370	481	762	405	28	449	836	915	432	278	1003	1864	968	248	791	2290	589	1587	632	906	111	389	807
ENSG00000131484	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0
ENSG00000131538	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0
ENSG00000132204	1504	2774	1720	6504	5254	1565	3697	3622	3211	3451	1725	5516	1786	5838	3781	3079	4072	5881	1124	4657	6661	5621	3957	3530	3077	7252.5	3105	1352
ENSG00000132832	623	663	305	1340	988	407	1057	164	197	457	522	871	932	4046	785	450	1707	654	295	1116	196	2908	638	567	850	2671.480769	742	493
ENSG00000136315	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	27	121	0	1	0	1	0	0	1	0	0
ENSG00000145063	1316	837	619	1137	1750	503	2059	2484	474	1015	346	1075	1001	5659	1489	606	3125	686	578	1169	1761	494	567	884	2043	2672	773	197
ENSG00000146521	82	2	563	5	10	237	407	5	2	7	0	1	8	91	131	622	129	3	1	3	11	2	319	3	392	67	2	1
ENSG00000147753	1	121	3	30	13	203	9	9	475	19	5	65	2	157	34	25	49	22	199	314	15	13	4	5	9	186	4	4
ENSG00000147761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000149656	2545	2409	6959	2996	4630	2518	3592	3135	882	3525	3895	4769	1588	1462	2400	4124	6076	3872	2256	3600	4321	5657	4557	1995	6756	1422	1697	4912
ENSG00000152931	310	359	986	1784.5	67	793	2963	2663	3272	3727	225	232	352	4151.5	3759	68	2829	1729	445.5	2257	2521	47	2070	972	2423	2924.363242	3045	24
ENSG00000153363	1580	500	1238	1239	1593	77	1718	2381	879	1130	840	552	764	2739	6377	3684	976	860	483	1714	2779	1450	479	722	2101	3593	930	582
ENSG00000154537	4	273	341	10	13	5	9	235	0	12	157	307	4	69	3	15	111	132	40	252	16	965	10	225	6	42	8	76
ENSG00000162947	1469	830	743	1180	1343	813	1823	1840	854	1609	1165	2184	1143	1789	621	1938	1557	2067	628	639	1721	2300	2617	1016	1482	1954	1113	1152
ENSG00000163009	1587	2414	2280	2664	5737	1678	3042	3524	2310	4130	2031	3372	4266	7683	4299	3867	4402	3810	678	3684	9359	3955	4960	4260	3982	5270	2090	1625
ENSG00000163364	19	176	54	273	899	160	291	183	223	820	138	13	18	221	549	24	64	698	2	369.5	358	87	532	152	144	27	225	270
ENSG00000163597	466	146	3	3	8	7	2	106	2	486	159	3	6	677	51	4	7	253	0	185	4	6	26	2	2	59	1	11
ENSG00000164385	679	451	8	479	397	162	251	354	325	28	4	493	26	362	45	981	715	269	71	212	684	31	563	438	15	563	216	308
ENSG00000166770	4196	3613	4693	2725	7835	3242	1729.5	5995	2443	2841	570	5754	4227	1220	2004	2409	5238	758	732	2517	4668	7074	5730	1755	4107	3822	3130	4241
ENSG00000167117	9	13	12	124	484	226	361	21	153	28	138	702	123	130	39	1701	688	16	194	18	12	478	628	8	626	765	16	28
ENSG00000167459	181	465	456	2042	544	595	1125	484	578	1363	376	1380	1551	1030	506	2547	906	50	166	924	603	2749	849	591	1182	421	560	396
ENSG00000168367	417	580	949	1183	1657	1090	914	1828	996	1432	219	1990	1407	1441	460.0001107	1672	1498	2540	387	2929	1744	936	960	894	2159	925	311	469
ENSG00000168746	331	425	253	994	53	312	197	792	1491	1000	389	788	859	6130	659.5	159.5	1227	95	99	993	1391	53	1433	380	1183	4335	584	162
ENSG00000170161	0	0	0	1	0	0	0	1	1	0	0	0	0	7	1	0	251	0	0	0	0	1	0	0	0	0	0	0
ENSG00000170590	2	2	1	3	4	4	4	5	510	268.1428571	4	2	10	70	435	22	9	4	2	2	7	5	4	2	10	155	3	0
ENSG00000170846	627	605	58	401	654	17	439	955	12	1052	84	1496	188	410	375	379	761	491	106	586	50	1743	37	287	454	381	174	85
ENSG00000170983	468	128	630.5	967	569	1791	17	3267	1125	1372	761	1711	1855	118	30	10	254	1491	200	3327	3085.5	5072	3047	1013	2768	9	956	507
ENSG00000172965	4483	5726	3703	7226	7879	5693	4691	9915.5	3508	13145.5	5416	7772	6467	12639	11533	18442	11203	6832	2934	14213	9654	8691	6643	4939	8586	15765	7522.5	4397
ENSG00000173862	0	0	0	67	2	0	0	1	0	0	0	0	0	89	1	2	1	1	0	1	1	0	2	0	2	1424	1	0
ENSG00000174365	5	166	193	217	34	112	734	17	27	15	121	585	7	286	448	621	179	479	54	165	386	19	17	217	90	201	158	247
ENSG00000175061	458	669	978	1556	1772	184	2341	2308	444	1416	777	1344	388	1582	868	89	465	2165	272	821	3739	2427	2542	455	602	1998	824	186
ENSG00000175728	2209	1187	4559.5	4792	4027	2553.5	3930	4207	1871	3755.5	2235	4058.5	4077.5	2511	3231	2242.5	6003	2515	980	4821	4286	2656	6352	2936	6754.5	7691	2717	2906
ENSG00000175746	2	84	9	94	14	4	13	8	7	540	1	4	10	1053	28	1032	125	11	118	9	14	744	5	15	7	137	203	5
ENSG00000175772	132	4	7	409	15	191	70	6	275	7	3	6	29	5213	331	405	14	293	3	6	16	625	9	0	18	25	27	3
ENSG00000175773	1436	1082	1565	3492	4965	1431	2869	4101	2017	2617	1889	3648	4676	3025	1084	3650	2078.7333	2589	313	2225	2395	3632	4218	1167	5600	1712.545909	591	1624
ENSG00000176075	1	114	0	40	4	2	123	1	76	0	13	5	1	135	6	9	6	303	0	3	4	1	1	1	1	2	1	4
ENSG00000176320	0	0	0	1	2	0	1	202	2	3	0	0	1	0	1	0	3	1	42	2	0	2	2	1	0	0	0	1
ENSG00000176515	1	0	242	4	1	0	0	4	0	3	0	3	343	37	4	513	3	3	0	2	664	1	1	0	1	198	2	0
ENSG00000176659	138	1	6	164	4	2	311	23	3	4	3	4	5	84	188	15	5	2	29	8	362	7	401	6	1	304	1	1
ENSG00000176728	3400	2820	2737	8068	4850	370	2285	5098.5	1335	4226	325	2934	2863	6470.5	3071	2407	5956.5	4158	541	1954	3110	5880	4071	1181	1035	4527	523	529
ENSG00000176754	275	149	17	516	404	362	248	691	113	681	114	40	257	125	305	42	660	530	88	1171	651	624	676	556	1473	614	16	387
ENSG00000176840	279	248	105	409	476	222	16	5	1	8	1	17	243	275	8	32	9	8	30	441	18	1003	737	10	311	114	216	123
ENSG00000176912	446	257	105	135	1084	11	12	1646	11	18	7	32	476	842	625	25	20	23	55	116	594	21	24	15	716	107	224	11
ENSG00000177234	4	5	2	103	0	4	187	7	5	291	3	4	4	39	2	5	310	295	2	259	10	5	492	237	3	777	300	0
ENSG00000177335	68	1566	1582	1443	279	685	2117	1583	525	1210	1342	1586	2353	2894	1691	2068	2310	4432	576	3151	1115	416	3118	947	1387	1726	1066	450
ENSG00000177338	230	345	70	2035	2142	325	2288	1437	1133	724	25	1573	910	718	1036	1028	1654.5	114	274	527	7811	1671	1338	597	926	2361	1714	134
ENSG00000177369	369	733	580	273	31	938	591	125	304	258	197	644	82	356	619	906	765	474	20	261	639	711	487	373	237	837	170	482
ENSG00000177596	0	3	285	445	425	7	0	173	5	301	4	714	4	39	443	436	403	8	56	97	14	7	16	7	472	486	1	115
ENSG00000177757	0	4	1	113	6	3	3	4	1	8	83	4	586	93	168	5	462	230	175	266	5	2	2	5	5	98	1	2
ENSG00000177788	1045	164	314	316	1000	482	538	17	344	1178	4	434	1843	816	1377	3587.5	727	1082	77	886	25	19	1302	429	674	1492	403	3
ENSG00000178107	5	3	130	444	7	6	10	107	5	9	6	8	19	51	14	7	18	5	3	7	1021	19	6	14	5	3	6	5
ENSG00000178130	536	562	4	21	114	928	437	8	2	18	1	376	6	998	14	443	206	572	60	326	2	14	1	418	2	51	3	3
ENSG00000178243	5	16	272	236	13	133	220	6	11	7	4	18	9	110	16	21	11	19	41	297	12	12	434	226	267	226	8	87
ENSG00000178248	454	1569	52	1559	1719	300	2102	549	1359	1963	1151	2086	1146	873	593	2732	1013	2088	317	2325	2407	1140	3293	696	3190	843	1300	769
ENSG00000178412	1	4	5	63	3	7	0	9	4	389	1	4	5	3	10	6	9	3	132	253	14	16	17	3	6	0	1	11
ENSG00000178440	6	147	5	672	377	158	16	21	6	124	64	16	15	565	126	53	431	621	47	666	791	23	956	117	570	312	129	277
ENSG00000178457	18	11	363	277	377	569	221	258	345	250	5	267	12	139	87	549	15	1124	145	20	22	16	902	479	309	159	9	10
ENSG00000178722	1131	700	2504	3322	2898	972	2106	2557	722	1721	700	1751	1780	5095	1202	953	2066	3603	731	2955	5421	2205	3096	686	2408	6600	1515	1574
ENSG00000178977	1657.407194	620.0682593	950	463.6587181	939.6849818	1177.641029	1674	2341.032884	541.0255085	1490.074111	399.9773181	1220	2389	216	223	834	927.8017246	1789	2053	1554	3456	2188	1963	616	732	815	2627	1157
ENSG00000179028	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	1	0	1	3	0	0
ENSG00000179066	128	2	130	48	12	9	235	23	107	218	1	8	9	33	5	36	364	17	65	187	7	961	14	136	16	7	5	126
ENSG00000179082	111	171	193	614	1678	746	45	894	301	1024	266	859	307	312	283	398	427	642	38	342	20	767	769	471	12	24	427	6
ENSG00000179136	2712	2524	2305	5813.5	4744	3049	2522	4001	2173	3597	1332	3435	3551	5493	2213	3286	2170	3335	1528	3756	5709	2694	2655	1021	3234	14561.06808	1644	1782
ENSG00000179219	1958	1482	358	1140	2026	840	2788	2133	1853	803	283	1091	833	687	772	2538	702	1726	52	2003	1476	617	3529	695	688	1335	1245	416
ENSG00000179406	1079	416	1283	2654	1497	1048	1208	367	889	586	429	1569	1071	398	649	1505	1173	646	351	84	2328	2869	702	927	1237	1289	296	650
ENSG00000179452	4	10	9	177	125	240	213	9	174	15	82	17	8	42	188	73	11	12	25	9	36	43	25	7	6	122	6	21
ENSG00000179523	5	14	162	1230	469	271	117	198	95	248	128	14	196	357	15	848	299	49	76	789	455	936	19	701	279	129	8	127
ENSG00000179676	296	12	834	381	1467	125	728	19	2	33	144	16	401	140	263	28	348	7	75	1137	510	15	96	165	1048	3928.5	246	4
ENSG00000179755	146	257	17	277	282	270	1112	892	197	523	86	671	18	117	252	361	639	448	80	1008	1726	2891	408	354	363	170	535	181
ENSG00000179818	0	1	162	178	0	0	2	2	2	2	2	1	0	0	1	0	3	2	60	0	0	307	0	2	1	0	0	0
ENSG00000179935	126	614	162	605	413	17	213	269	212	632	1647	13	16	980	359	1245	687	29	44	309	23	30	518	255	525	583	26	304
ENSG00000180066	305	16	283	1078	40	36	247	356	678	1243	244	49	539	346	166	895	448	32	14	48	1407.5	1638	956	29	857	363	158	88
ENSG00000180279	852	167	120	301	1821	611	1299	237	375	653	125	2064	1706	943	909	330	2508	613	145	1363	31	1507	1279	23	740	2991	32	292
ENSG00000180422	393	357	111	571	707	131	327	807	297	335	199	677	826	415	1572	951	873	881	93	292	2430	650	1806	383	577	782	519	8
ENSG00000180425	1408	1336	1073	1243	3977	1593	1293	2422	1143	2361	719	2799	626	1327.5	2702	2736	5410	2175	613	1912	125	4190	3180	1322	1098	707	1328	546
ENSG00000180712	1	3	405	6	487	299	279	1	162	13	287	12	5	264	256	10	11	278	36	854	380	7	411	274	7	174	29	3
ENSG00000180769	0	0	0	0	1	2	0	192	0	0	3	0	1	170	1	0	1	0	0	0	2	722	1	185	0	0	1	0
ENSG00000180861	1559	139	17	725	43	607	1309	688	171	537	229	2023	444	1013	508	376	848	696	250	1208	722	52	37	44	1437	1366	664	646
ENSG00000180869	4	139	439	115	5	192	210	256	3	175	5	337	289	58	4	5	65	245	55	186	440	9	6	4	806	47	175	163
ENSG00000180910	156	1	0	1	0	1	0	0	0	1	0	0	1	0	2	0	0	2	1	0	0	9	1	0	0	0	0	1
ENSG00000181798	0	158	3	560	2	2	4	148	4	6	6	7	5	3	2	4	121	13	30	1	3	3	4	1	1	7	1	2
ENSG00000181908	171	172	262	106	34	2	250	524	89	13	5	374	11	108	20	863	162	385	15	9	8	9	5	382	480	177	6	242
ENSG00000181995	1144	1223	1057	3531.5	1783	1682.5	1893.5	2103.5	1200	2493	2211	2008	665	4336	2835	455	2697	3060	847	2754	1656	1422	1686	987.5	4538	7712	1466	1067
ENSG00000182057	4	5	0	1	8	3	271	2	3	9	5	2	250	29	17	317	10	8	87	7	482	3	7	123	3	6	1	91
ENSG00000182165	1442	928	348	968	1932	956	621	1561	607	1474	398	467	524	2294	277	632	784	683	277	1261	558	143	908	50	95	696	333	45
ENSG00000182366	755	846	785	1516	878	30	1513	615	678	875	14	150	602	4711	582	1367	854	567	288	1406	1911	878	631	482	711	500	441	255
ENSG00000182586	402	772	1041	4933	231	639	1097	467	427	1770	32	3274	1043	1689.375884	733	1523	1424	60	176	1093	957	2704	397	441	1312	790	647	293
ENSG00000182648	1370	1044	1494	2459	3149	796	1488	1653	2350	1193	1259	1479	1530	1545	1243	2159	1791	2505	230	1193	4882	246	1824	2998	1537	2094	335	487
ENSG00000182776	626	5	187	310	13	88	15	382	73	42	11	437	15	1414	46	10	277	25	19	13	943	21	755	11	101	322	79	6
ENSG00000182824	121	333	71	439	783	3	309	838	5	15	288	326	13	780	21	802	392	395	3	609	1087	841	5	5	1153	149	372	697
ENSG00000183250	868	660	203	698	1907	293	1285	834	290	562	485	21	17	1301	625	2345	676	1142	90	717	1581	1050	599	474	1554	228	765	84
ENSG00000183385	0	0	1	0	1	0	0	0	1	0	2	1	1	8	0	2	4	0	0	2	4	2	0	0	1	25	0	0
ENSG00000183470	209	458	9	311	69	18	234	434	194	451	104	14	289	196	186	17	274	650	58	542	33	31	1094	247	622	167	359	6
ENSG00000183643	8	11	295	32	49	10	166	41	8	9	3	12	16	144	13	54	17	10	4	13	401	17	16	9	423	348	216	4
ENSG00000183674	271	9	381	250	33	8	11	588	168	11	341	1090	12	277	495	556	63	883	5	29	742	656	2070	211	18	68	409	48
ENSG00000184115	2	2	2	3	13	4	7	9	5	4	5	3	10	4	333	229	6	3	2	0	10	2	3	3	2	111	3	155
ENSG00000184224	23	170	296	629	207	17	243	28	291	158	129	565	11	185	91	535	432	513	60	565	1294	13	525	128	317	948	588	5
ENSG00000184274	390	1300	357	1360	3384	1205	2820	2427	1355	1128	2038	1726	1635	373	2204	4531	1794	2492	506	2961	4512	2902	3803	2737	4176	538	1433	1116
ENSG00000184856	4	104	6	3	5	4	11	8	94	11	150	8	3	1	3	3	216	3	41	169	5	2	7	9	432	5	3	4
ENSG00000184991	0	0	0	40	0	0	2	1	23	10	3	1	30.5	9	36	2	499	20	6	0	1	5	3	5	418	554	34	0
ENSG00000185168	270	328	654	178	88	294	97	44	633	33	57	766	42	229	588	87	402	554	104	841	54	93	1695	274	397	146	567	28
ENSG00000185186	65	2	85	114	298	2	232	5	98	9	3	4	3	256	18	11	1	259	0	3	1	5	8	164	69	14	3	1
ENSG00000185433	4	0	120	95	10	3	1684	7	3	7	4	399	2	143	14	4	132	7	2	242	5	5	10	11	255	1041	3	0
ENSG00000185700	0	0	0	0	505	0	1	0	1	1	0	1	0	0	1	2	6	1	0	0	3	2	0	220	0	10	0	0
ENSG00000185847	2359	2316	1503	2787	6822.5	1864	2742	2582	1856	2635	8487	1005	2418	2321	14625	5573	1631	3727.5	871	3496	3905	10554	5282	959	7852.5	949	1012	1023.5
ENSG00000185904	65	236	26	608	797	484	235	297	411	53	25	994	253	1049	1735	1411	673	1103	223	602	1692	768	788	523	541	5883.050989	907	8
ENSG00000186148	1036	618	1113	1648	1435	975	870	2328	830	929	734	1196	1592	1754	2703	2653	2525	1350	520	1643	418	666	2364	745	1470	4721	1029	615
ENSG00000186235	474	481	439	642	2506	337	396	354	771	1326	134	1128	835	875	301	1027	1176	835.5	220	1571	525	641	98	738	638	757.5	509	386
ENSG00000186594	337	64	294	650	596	393	537	656	996	1056	279	1364	351	250	600	1571	1858	350	177	2126	486	681	607	722	407	1012	529	231
ENSG00000186825	212	99	341	316	989	328	295	1571	23	1323	11	44	388	399	358	44	116	410	90	325	53	1033	92	180	914	586	816	665
ENSG00000186960	796	17	707	438	588	480	382	1534	582	457	97	1850	165	1305	685	2153	673	914	94	1335	1174	53	510	469	828	581	376	813
ENSG00000187012	863	1434	1637	1462	4253	1339	1870	4226	1094	3596	1083	954	1600	193	921	3498	1466	1053	349	1801	3645	6445	299	1119	1886	1458	840	842
ENSG00000187013	9	8	161	171	714	470	342	426	129	193	109	782	395	107	9	29	288	265	29	235	31	50	1090	6	575	11	132	8
ENSG00000187185	14	102	24	180	9	9	278	8	147	3	7	10	4	600	36	21	159	19	54	236	16	8	5	0	648	349	4	3
ENSG00000187621	234	1602	449	1674	1059	568.5	455	1993	1785	1044	442	745	440	1055	1500	42	2793	2424	744	1791	2823.5	2263.5	3552	421	1949	3952	880	789
ENSG00000188185	1704	981	621	1943	2337	1737	1726	1114	707	1721	660	1999	1887	1765	1921	1107	1895	1182	437	2190	2462	2765	2168	510	1397	1265	778	319
ENSG00000188511	838	1341	1263	2095	2449	425	1282	2287	1314	1646	919	1339	1806	1326	255	511	952	1662	296	1203	3561	2083	525	723	1005	1443	1109	626
ENSG00000188660	299	8	161	106	13	3	2	4	6	5	15	652	3	41	8	3	4	11	2	9	515	14	13	4	6	4	197	3
ENSG00000188825	460	432	1653	867	1064	430	1159	562	385	555	754	1680	693	4344	1255	2030	751	762	367	1336	2476.5	646	2480	1046	1927	538	988	905
ENSG00000189196	2	5	3	120	552	1	130	6	2	492	4	4	251	87	105	455	7	13	0	3	562	5	6	3	4	227	2	9
ENSG00000189229	7093	4981	10207	17881	13924	5779	16947	9173	18185	13886	9925	14043	8261	7743	22264	14506	10493	10266	4423	8198	15887	39020	14734	4503	28275	13530	7072	6806
ENSG00000189238	1024	1091	840	907	795.8333333	430	1389	1183	559	2408	397	585	1289	1788	695	1375	1186	1056	211	1158	1011	74	892	916	287	1314	459	218
ENSG00000189275	656	1027	1149	764	1540	1204	568	1090	331	561	484	1257	960	1311	518	3348	1130	2132	120	877	2635	944	699	591	1226	2336	602	427
ENSG00000189295	2	2	1	140	0	0	0	1	0	0	1	0	1	3	0	1	1	1	1	1	1	0	1	0	0	2	0	0
ENSG00000189419	0	101	3	474	0	0	1	697	63	165	1	347	34	4962.319588	642	56	154	6	63	1	6	1	642	239	603	1063.5	11	0
ENSG00000194297	0	0	0	277	0	0	0	1	0	0	0	0	0	45	0	0	0	1	1	254	2	0	0	147	1	62	0	0
ENSG00000195024	2	0	0	127	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000196096	9	22	676	890	17	162	57	15	128	395	133	34	111	494	65	768	394	40	121	386	42	25	1258	347	497	313	319	7
ENSG00000196243	613	564	240	938	2044	571	450	727	558	1188	208	1091	1101	2046	1915	1651	232	957	115	344	2017	345	565	1542	1457	338	1208	79
ENSG00000196273	900	1020	990	1682	5822	1318	1693	2664	1988	1048	1135	1401	601	1852	805	433	2165	1815	445	1765	2234	2382	1199	490	1868	474	509	401
ENSG00000196295	0	0	0	4	1	0	168	3	0	2	1	0	2	2	2	319	1	211	0	287	7	4	0	1	1	2	218	0
ENSG00000196366	13	233	416	708	140	610.5	904	1376	389	1769	915	713	596	889	1506	1059	2414	892	261	1829	2232	771	683	728	2008	95	606	673
ENSG00000196634	304	12	15	1501.055592	768	13	1254	383	178	201	116	438	19	741	304	620	84	937	219	33	108	18	27	422	196	608	66	10
ENSG00000196668	3	8	5	3	1016	319	3	343	110	8	4	4	3	171	206	4	110	125	233	351	14	717	499	6	800	5	100	76
ENSG00000196741	0	2	0	1	1	2	0	225	0	3	0	6	2	76	8	59	2	3	0	1	283	2	2	1	0	34	2	62
ENSG00000196756	206	105	28	781	22	181	865	225	180	600	150	831	30	294	435	30	1135	424	12	19	1566	749	731	476	128	1761.5	417	11
ENSG00000196758	166	89	9	436	496	217	25	198	195	29	9	372	15	430	622	507	31	13	21	21	575	12	11	166	18	196	374	8
ENSG00000196979	2	6	0	4	6	260	250	2	238	514	1	7	15	83	5	4	155	7	2	590	43	11	1472	604	3	6	2	292
ENSG00000197176	1177	1520	810	1169	965	214	1180	1372	1030	374	1171	499	2256	3876	505	1184	2648	1461	289	346	2968	6785	1916	186	440	4053	752	19
ENSG00000197180	7	6	323	35	578	238	8	152	166	205	5	21	9	498	18	700	126	11	1	610	9	21	444	227	237	16	2	6
ENSG00000197182	128	18	350	1054	755	457	34	274	279	247	10	20	11	554	1005	24	34	23	104	581	1507	932.5	45	796	63	282	375	188
ENSG00000197210	792	469	337	2167	786	1637	1406	571	395	1007	720	1146	730	1348	644	2007	1026	1724	260	1057	1953	1492	945	385	557	615	568	203
ENSG00000197251	198	88	126	10	340	6	155	5	9	10	7	110	7	138	11	719	106	13	38	11	13	713	533	7	13	33	68	7
ENSG00000197291	441	516	42	777	1376	811	1005	455	744	301	139	60	22	191	45	244	392	927	139	906	1022	68	1411	39	766	697	202	467
ENSG00000197308	1147	125	1193	478	1304	349	242	581	982	228	727	207	563	150	335	1181	1024	931	162	1112	1631	61	1247	264	381	267	576	617
ENSG00000197322	582	10	7	213	428	313	26	482	221	338	115	398	10	413	473	545	43	171	86	958	920	14	16	456	325	333	17	350
ENSG00000197332	7	8	284	81	7	7	174	438	242	9	8	6	4	197	8	35	7	698	3	17	16	16	509	584	3	89	182	78
ENSG00000197445	900	1160	1358	2471	3591	2655	3037	3526	1571	1935	1900	2765	1822	2407	1959	2814	3202	2439	310	4048	4355	852	2116.5	989	2432	1156	901	1464
ENSG00000197462	156	3	3	2	4	4	1	3	73	2	144	2	4	47	8	1	0	2	113	4	11	2	3	3	0	1	165	0
ENSG00000197503	3	3	84	126	10	3	292	360	40	3	262	8	401	185	322	17	18	235	39	904	25	33	9	12	308	4	5	4
ENSG00000197595	178	716	328	64	11	12	18	535	99	10	3	4	10	247	703	25	716	11	47	640	13	12	578	11	98	176	152	83
ENSG00000197813	377	210	806	507	1719	456	929	963	440	928	32	420	1049	588	515	1088	771	383	248	966	1598	2047	1508	655	576	838	364	343
ENSG00000198106	2	93	5	290	17	117	181	287	313	7	5	4	3	79	18	14	118	8	116	9	416	8	191	4	11	167	10	3
ENSG00000198221	337	5	122	23	8	2	179	413	0	247	215	1	3	66	2	2	0	5	108	1	5	2	0	0	1	0	2	0
ENSG00000198454	115	4	0	15	6	0	9	1	62	2	189	6	2	30	0	1	3	2	0	356	1	12	7	0	0	3	3	2
ENSG00000198468	585	8	144	655	563	860	248	193	173	299	259	675	336	1908	395	459	630.5	844	91	984	15	672	547	167	14	187	15	505
ENSG00000198547	89	10	170	391	951	12	20	205	203	169	17	19	245	3471	945	605	267	254	25	322	48	37	36	17	321	72	117	5
ENSG00000198590	262	22	401	1119	906	453	247	181	345	267	137	41	173	680	156	1498	476	882	15	874	42	35	549	440	423	738	403	303
ENSG00000198685	3	294	2	10	504	5	13	285	145	5	152	4	255	194	126	11	236	516	72	10	470	13	11	3	3	36	210	373
ENSG00000199196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199202	0	0	7	0	2	0	0	1	1	0	0	0	0	0	3	10	0	3	0	0	0	0	0	0	0	0	1	0
ENSG00000199212	2	2	0	0	8	2	2	0	2	3	1	2	1	0	2	1	4	0	0	2	1	0	3	1	1	0	2	0
ENSG00000199217	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
ENSG00000199219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ENSG00000199246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199260	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000199266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000199276	169	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199279	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000199282	1	2	2	2	12	1	0	1	1	1	0	1	1	0	0	0	4	1	0	0	2	1	1	3	0	0	1	2
ENSG00000199283	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0
ENSG00000199286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199293	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
